id,logicalLine_code,logiclLine_name,longitude,latitude,name,koName,enName,displayCode
"1610","104","경의중앙선","126.971333","37.5564073","서울역","서울역","Seoul Station","P313"
"1619","104","경의중앙선","126.8017185","37.645903","곡산","곡산","Goksan","K323"
"1618","104","경의중앙선","126.8097732","37.6319767","대곡","대곡","Daegok","K322"
"1617","104","경의중앙선","126.8208545","37.6187476","능곡","능곡","Neunggok","K321"
"1616","104","경의중앙선","126.8343171","37.612119","행신","행신","Haengsin","K320"
"1615","104","경의중앙선","126.8683865","37.6029081","화전","화전","Hwajeon","K318"
"1614","104","경의중앙선","126.8956951","37.5808606","수색","수색","Susaek","K317"
"1624","104","경의중앙선","126.7670809","37.7254269","운정","운정","Unjeong","K329"
"1623","104","경의중앙선","126.7611803","37.6938932","탄현","탄현","Tanhyeon","K327"
"1622","104","경의중앙선","126.7700598","37.6820088","일산","일산","Ilsan","K326"
"1621","104","경의중앙선","126.7863663","37.6721825","풍산","풍산","Pungsan","K325"
"1620","104","경의중앙선","126.7944965","37.6582116","백마","백마","Baengma","K324"
"1509","116","수인분당선","127.0479431","37.5806305","청량리","청량리","Cheongnyangni","K209"
"1629","104","경의중앙선","126.7874754","37.8545997","문산","문산","Munsan","K335"
"1628","104","경의중앙선","126.7924505","37.8153925","파주","파주","Paju","K334"
"1627","104","경의중앙선","126.792609","37.7962173","월롱","월롱","Wollong","K333"
"1626","104","경의중앙선","126.7745325","37.7661205","금촌","금촌","Geumchon","K331"
"1625","104","경의중앙선","126.7654255","37.7513071","금릉","금릉","Geumneung","K330"
"1635","104","경의중앙선","126.8444681","37.6122702","강매","강매","Gangmae","K319"
"1514","116","수인분당선","127.043642","37.5109245","선정릉","선정릉","Seonjeongneung","K214"
"1513","116","수인분당선","127.0414041","37.5168484","강남구청","강남구청","Gangnam-gu Office","K213"
"1512","116","수인분당선","127.040572","37.5273936","압구정로데오","압구정로데오","Apgujeongrodeo","K212"
"1511","116","수인분당선","127.04469","37.543654","서울숲","서울숲","Seoul-forest","K211"
"1631","104","경의중앙선","126.7469467","37.888424","임진강","임진강","Imjingang","K336"
"1510","116","수인분당선","127.0387123","37.5615059","왕십리","왕십리","Wangsimni","K210"
"1519","116","수인분당선","127.0664956","37.4891822","개포동","개포동","Gaepo-dong","K219"
"1518","116","수인분당선","127.0593452","37.4870094","구룡","구룡","Guryong","K218"
"1517","116","수인분당선","127.0553677","37.490994","도곡","도곡","Dogok","K217"
"1516","116","수인분당선","127.0528945","37.4962147","한티","한티","Hanti","K216"
"1636","104","경의중앙선","126.7614037","37.7126654","야당","야당","Yadang","K328"
"1515","116","수인분당선","127.0486062","37.5052768","선릉","선릉","Seolleung","K215"
"1404","1","1호선","127.0858115","36.9902563","평택","평택","Pyeongtaek","P165"
"1525","116","수인분당선","127.1290663","37.4321781","모란","모란","Moran","K225"
"1403","1","1호선","127.0704713","37.0188715","평택지제","평택지제","PyeongtaekJije","P164"
"1524","116","수인분당선","127.127755","37.439869","태평","태평","Taepyeong","K224"
"1402","1","1호선","127.0528735","37.0566264","서정리","서정리","Seojeong-ri","P163"
"1523","116","수인분당선","127.1266925","37.4487387","가천대","가천대","Gachon Univ.","K223"
"1401","1","1호선","127.0543827","37.0755124","송탄","송탄","Songtan","P162"
"1522","116","수인분당선","127.1266572","37.4698373","복정","복정","Bokjeong","K222"
"1521","116","수인분당선","127.1009107","37.4879265","수서","수서","Suseo","K221"
"1520","116","수인분당선","127.072761","37.4913748","대모산입구","대모산입구","Daemosan","K220"
"1409","1","1호선","127.136151","36.8014599","봉명","봉명","Bongmyeong","P170"
"1408","1","1호선","127.1464204","36.8101973","천안","천안","Cheonan","P169"
"1529","116","수인분당선","127.1142328","37.3784451","수내","수내","Sunae","K229"
"1407","1","1호선","127.1489002","36.8338773","두정","두정","Dujeong","P168"
"1528","116","수인분당선","127.1234021","37.3849937","서현","서현","Seohyeon","K228"
"1406","1","1호선","127.1437886","36.8708919","직산","직산","Jiksan","P167"
"1527","116","수인분당선","127.128286","37.3958531","이매","이매","Imae","K227"
"1405","1","1호선","127.1269818","36.9160158","성환","성환","Seonghwan","P166"
"1526","116","수인분당선","127.1286745","37.4113197","야탑","야탑","Yatap","K226"
"1415","1","1호선","127.0031778","36.7805415","온양온천","온양온천","Onyang oncheon","P176"
"1536","116","수인분당선","127.1113234","37.2861338","신갈","신갈","Singal","K236"
"1535","116","수인분당선","127.1056769","37.2989066","구성","구성","Guseong","K235"
"1413","1","1호선","127.0528422","36.7775922","배방","배방","Baebang","P174"
"1534","116","수인분당선","127.1073978","37.3245825","죽전","죽전","Jukjeon","K233"
"1533","116","수인분당선","127.1082321","37.3127473","보정","보정","Bojeong","K234"
"1411","1","1호선","127.104573","36.7921184","아산","아산","Asan","P172"
"1532","116","수인분당선","127.1089962","37.3398231","오리","오리","Ori","K232"
"1410","1","1호선","127.1213596","36.7937596","쌍용(나사렛대)","쌍용(나사렛대)","Ssangyong","P171"
"1531","116","수인분당선","127.1089006","37.3507506","미금","미금","Migeum","K231"
"1530","116","수인분당선","127.1080884","37.3661631","정자","정자","Jeongja","K230"
"1539","116","수인분당선","127.0789586","37.25948","청명","청명","Cheongmyeong","K239"
"1538","116","수인분당선","127.1087467","37.2618059","상갈","상갈","Sanggal","K238"
"1416","1","1호선","126.9517949","36.7697881","신창(순천향대)","신창(순천향대)","Sinchang","P177"
"1537","116","수인분당선","127.1159514","37.2756463","기흥","기흥","Giheung","K237"
"1305","104","경의중앙선","127.3730572","37.5255784","신원","신원","Sinwon","K131"
"1304","104","경의중앙선","127.3994612","37.5161955","국수","국수","Guksu","K132"
"1303","104","경의중앙선","127.4432995","37.5139483","아신","아신","Asin","K133"
"1545","116","수인분당선","127.0011398","37.2665472","수원","수원","Suwon","K245"
"1302","104","경의중앙선","127.4918585","37.4926683","양평","양평","Yangpyeong","K135"
"1544","116","수인분당선","127.0157171","37.2655124","매교","매교","Maegyo","K244"
"1301","104","경의중앙선","127.5466435","37.468719","원덕","원덕","Wondeok","K136"
"1543","116","수인분당선","127.0311206","37.2618511","수원시청","수원시청","Suwon City Hall","K243"
"1300","104","경의중앙선","127.5942681","37.482095","용문","용문","Yongmun","K137"
"1542","116","수인분당선","127.0406611","37.2527042","매탄권선","매탄권선","MaetanGwonseon","K242"
"1541","116","수인분당선","127.0573753","37.2458072","망포","망포","Mangpo","K241"
"1540","116","수인분당선","127.0713409","37.2515233","영통","영통","Yeongtong","K240"
"1309","104","경의중앙선","127.2227421","37.5796446","도심","도심","Dosim","K127"
"1308","104","경의중앙선","127.2439137","37.5473258","팔당","팔당","Paldang","K128"
"1307","104","경의중앙선","127.3099366","37.554742","운길산","운길산","Ungilsan","K129"
"1306","104","경의중앙선","127.3291446","37.5459415","양수","양수","Yangsu","K130"
"1316","104","경의중앙선","127.0758326","37.5949042","중랑","중랑","Jungnang","K119"
"1315","104","경의중앙선","127.0923538","37.5993046","망우","망우","Mangu","K121"
"1314","104","경의중앙선","127.1080081","37.6066358","양원","양원","Yangwon","K122"
"1313","104","경의중앙선","127.1434278","37.6032734","구리","구리","Guri","K123"
"1312","104","경의중앙선","127.1611277","37.6087585","도농","도농","Donong","K124"
"1311","104","경의중앙선","127.1947468","37.603994","양정","양정","Yangjeong","K125"
"1310","104","경의중앙선","127.2088138","37.5869169","덕소","덕소","Deokso","K126"
"1318","104","경의중앙선","126.9650028","37.5295775","용산","용산","Yongsan","K110"
"1317","104","경의중앙선","127.0570622","37.5891955","회기","회기","Hoegi","K118"
"901","9","9호선","126.7969922","37.5784637","개화","개화","Gaehwa","901"
"902","9","9호선","126.8027857","37.5618623","김포공항","김포공항","Gimpo Int'l Airport","902"
"903","9","9호선","126.8106594","37.563793","공항시장","공항시장","Airport Market","903"
"904","9","9호선","126.8173535","37.5675126","신방화","신방화","Sinbanghwa","904"
"905","9","9호선","126.8272818","37.5667761","마곡나루","마곡나루","Magongnaru","905"
"906","9","9호선","126.8418407","37.5681281","양천향교","양천향교","Yangcheon Hyanggyo","906"
