id,line,name,lat,lng,google_place_id,google_place_name,google_address,google_lat,google_lng
602,"신분당선","광교",37.30211,127.044483,"ChIJs7I8tXxbezURgXxj9flMvUY","광교(경기대)","120 로 지하, 풍덕천동 수지구 용인시 경기도",37.3021303,127.0441582
603,"의정부경전철","회룡",37.724846,127.046895,"ZERO_RESULTS",,,,
604,"의정부경전철","범골",37.728755,127.04353,"ChIJu80_sU3HfDURmsmJVvOWXv4","범골","의정부시 호원2동",37.728796,127.043664
605,"의정부경전철","경전철의정부",37.737202,127.043257,"ChIJawuXojXHfDURu2oCbWHgNKY","경전철의정부","의정부시 의정부동",37.737291,127.043317
606,"의정부경전철","의정부시청",37.739256,127.034781,"ChIJS3F3_7XAfDURKTu9oOOyS2w","의정부시청","의정부시 의정부동",37.739242,127.034866
607,"의정부경전철","흥선",37.743302,127.037023,"ChIJ04OVfszAfDUR46wyGrfMb9g","흥선","의정부시 가능동",37.743284,127.037121
608,"의정부경전철","의정부중앙",37.743676,127.049565,"ChIJD-2a6C_HfDURoj9H9-7Kcvs","의정부중앙","의정부시 의정부동",37.743684,127.049663
609,"의정부경전철","곤제",37.750471,127.083715,"ZERO_RESULTS",,,,
610,"의정부경전철","어룡",37.742802,127.085035,"ChIJ_WwjtlXGfDUR0kCqEscZlvw","어룡","의정부시 용현동",37.742696,127.085226
611,"공항철도","공항화물청사",37.458366,126.476241,"ChIJcXrsZuCaezURuDJQEZz2dd8","공항화물청사","인천광역시 운서동",37.459064,126.477507
612,"공항철도","인천공항1터미널",37.4475222,126.4503887,"ChIJzdcB04CbezURJslSrJKOgeo","인천공항1터미널역","인천광역시 중구 운서동 공항로 271",37.4475951,126.4580803
613,"공항철도","인천공항2터미널",37.4848197,126.4374276,"ChIJ7TZN-XaQezUR0UAqfjDR5eU","인천국제공항제2여객터미널청사","인천광역시 중구 운서동 공항로 272",37.4848155,126.4396163
614,"공항철도","영종",37.511466,126.5237,"ZERO_RESULTS",,,,
615,"신분당선","강남",37.497175,127.027926,"ChIJKxs2jFmhfDURPP--kvKavw0","강남","서울특별시 역삼동",37.497952,127.027619
616,"신분당선","양재",37.484147,127.034631,"ChIJ6cFpb0mhfDURQzRecg-fdx8","양재","서울특별시 강남구 도곡1동 945-20",37.484557,127.034022
617,"용인경전철","강남대",37.270161,127.126033,"ChIJZ9vU1XdQezURBurFiEmDHj8","강남대","용인시 구갈동",37.270197,127.126007
618,"용인경전철","지석",37.269606,127.136515,"ChIJ25WiNGVQezURQWpyNtiDRHE","지석","용인시 상하동",37.269711,127.136613
619,"용인경전철","어정",37.274917,127.143714,"ChIJn0qO2GFQezURocooa4LAklU","어정","용인시 상하동",37.274954,127.143758
620,"용인경전철","동백",37.269043,127.152716,"ChIJ8WqnLFlQezURQl72KPeMCrw","동백역","용인시 동백동",37.2691239,127.1527886
621,"용인경전철","초당",37.260752,127.159443,"ChIJ0YjEPVBQezURO2TeInDjoTc","초당","용인시 동백동",37.26083,127.159477
622,"용인경전철","시청·용인대",37.239151,127.178406,"ChIJn0Q4rshRezUR6by_NHAWMQI","시청.용인대","용인시 역삼동",37.2394,127.178839
623,"용인경전철","명지대",37.237964,127.190294,"ChIJx_94nupRezURBhN3VsbzM3U","명지대역","용인시 역북동",37.238068,127.190282
624,"용인경전철","김량장",37.237247,127.198781,"ChIJE-h43JJRezURRtmmRAbK6wQ","김량장역","용인시 김량장동",37.237299,127.198683
625,"용인경전철","운동장·송담대",37.237845,127.209198,"ChIJt7kjnYlRezUR-FvKAjh0huM","운동장.송담대","용인시 김량장동",37.237896,127.209057
626,"용인경전철","고진",37.24484,127.214251,"ChIJ9yKfKipSezURzE7jVj-fhfA","고진","용인시 유림동",37.244694,127.214222
